Question,Answer,Intent
Where can I park to visit the South Caroliniana Library?,"USC Parking
A visitor's parking permit is available from [USC Parking](https://sc.edu/about/offices_and_divisions/parking/index.php) for $10 per day. This will allow you to park in most surface lots on campus except in parking spaces marked as reserved, including parking in the [C1 Faculty and Staff lot](https://sc.edu/visit/map/?id=744#!m/204265) at 1400 Pendleton Street, next to the back garden of the South Caroliniana Library, and the [C2 Faculty and Staff lot](https://sc.edu/visit/map/?id=744#!m/204122?share) at 901 Sumter Street, north of the James F. Byrnes building and across Sumter Street from South Caroliniana Library.
Without a visitor's parking permit, the [C1](https://sc.edu/visit/map/?id=744#!m/204265) and [C2](https://sc.edu/visit/map/?id=744#!m/204122?share) Faculty and Staff lots are restricted to University of South Carolina faculty and staff with a C, H or RT permit until 3 p.m. on weekdays. But all faculty and staff permit holders can park there after 3 p.m. And all faculty, staff, and student permit holders can park there on Saturdays.
University parking is also available to visitors in the [Pendleton Street Garage](https://sc.edu/visit/map/?id=744#!m/204274). The visitors' entrance to the garage is on the west side of the 1000 block of Pickens Street, at the northeast corner of the garage. Visitors' parking is at five-hour meters on levels 1a, 1b, and 2a for up to $1 per hour, depending on payment method. Parking meter cards valid for one full day at any USC meter are available for $5 at the Parking and Transportation Services office on the ground level at the southeast corner of the Pendleton Street Garage. Payment at USC meters is not monitored on Saturday. Note, meters on the street are not University meters, but are maintained by the City of Columbia.
For more information on University parking, visit [Parking and Transportation Services](https://sc.edu/about/offices_and_divisions/parking/index.php).
City of Columbia parking
[Parking monitored by the City of Columbia](https://parking.columbiasc.gov/) is available on surrounding streets at two-hour green meters and five-hour blue meters for 25 cents per 20 minutes, or with the Passport Parking app using your smart phone as explained [here](https://parking.columbiasc.gov/enforcement/). Time may not be added to the meters beyond their maximum. Two-hour green meters are on Marion, on Senate between Sumter and Marion, and on the north side of College. Five-hour blue meters are on the south side of College, on Sumter between Greene and Pendleton, on Pendleton between Sumter and Bull, and on Senate between Marion and Bull. The city offers an [interactive map](https://gis.columbiasc.gov/parking/) that shows green and blue lines for the different types of meters. To center the map on South Caroliniana Library, search for 910 Sumter St.
Privately-maintained public parking
[Vista Parking](http://www.vistaparkingsc.com/) maintains a parking lot on the block behind South Caroliniana Library at [1311 Pendleton Street](https://maps.app.goo.gl/WgJWZgv5Foft9wqq9) at the corner with Sumter Street with both monthly and hourly rates using your smart phone.
[Preferred Parking](https://www.preferredparking.com/2019_Columbia.html) maintains parking lots at [1212 Pendleton Street](https://www.preferredparking.com/dailyparking_regional/default.aspx?lat=33.99903&long=-81.02966&zoom=17) and [1320 Senate Street](https://www.preferredparking.com/dailyparking_regional/default.aspx?lat=33.99903&long=-81.02966&zoom=17) with both monthly and hourly rates using your smart phone.
Other parking
There is a state employee parking lot at the [corner of Pendleton and Marion](https://maps.app.goo.gl/BipFrGWJo8aY77KN7). The signage indicates that parking is restricted to state employees by law / 6:00 A.M. - 6:00 P.M. Mon - Fri / no public parking. Many patrons report parking here on Saturdays without consequence; but given the ambiguity in the signage, we advise proceeding at your own risk.
Parking for people who have a disability
Persons with valid parking placards or license plates for people with disabilities may park in any street metered spaces maintained by the City of Columbia without feeding the meter and without time restrictions.
To park in accessible spaces marked as USC permit-only parking lots or garages, a USC permit, in conjunction with a state issued-placard is required. State-issued placards or plates alone are not valid to park in these spaces.
The visitor parking spaces in the Pendleton Street Garage include accessible parking spaces that may be used by those with state-issued placards or plates. These spaces are not marked as USC-permit only, but may require payment. However, please note there is an approximately 0.4 mile distance between the garage and South Caroliniana Library building.
The [C1 Faculty and Staff lot](https://sc.edu/visit/map/?id=744#!m/204265) at 1400 Pendleton Street has accessible spaces next to the back garden of the South Caroliniana Library that may be used with a valid USC parking permit in conjunction with a state-issued placard. As mentioned above, a $10 per day visitor's parking permit will allow you to park in most surface lots on campus in most spaces, except those marked as reserved. This includes parking the [C1 Faculty and Staff lot](https://sc.edu/visit/map/?id=744#!m/204265) at 1400 Pendleton Street, next to the back garden of the South Caroliniana Library.

[Learn more here](https://libanswers.library.sc.edu//scl/faq/392582)",park_visit_south_caroliniana
When is the South Caroliniana Library open?,"Our usual hours are 9 a.m. until 4 p.m., Tuesday through Friday, and the first Saturday of each month. [(Please check here for holidays and exceptions.](https://sc.edu/about/offices_and_divisions/university_libraries/about/hours/index.php))
Our public exhibits are always open during those times. Research is by appointment only.
 
We have two floors of exhibits about our collections and the history of the Palmetto state, including portraits and paintings. 
 
To research with us, please start with our online catalog from our [webpage](https://sc.edu/libraries/scl). Please see [How do I search South Caroliniana Library's Collections](https://libanswers.library.sc.edu/scl/faq/372585) for pointers. Then, when you're ready, [contact us](https://libanswers.library.sc.edu/form?queue_id=6117) to talk about your needs, our scanning services, or making an appointment.
Please note that items that are part of the [South Carolina Political Collections](https://sc.edu/about/offices_and_divisions/university_libraries/browse/sc_political_collections/index.php) are not accessible at the South Caroliniana Library, but may be viewed by appointment only in the [Dorothy B. Smith Reading Room](https://sc.edu/about/offices_and_divisions/university_libraries/about/locations/hollings/smith_reading_room/index.php) in the [Ernest F. Hollings Special Collections Library](https://sc.edu/about/offices_and_divisions/university_libraries/about/locations/hollings/index.php), Please visit the [Ernest F. Hollings Special Collections Library](https://sc.edu/about/offices_and_divisions/university_libraries/about/locations/hollings/index.php) for information on hours.

[Learn more here](https://libanswers.library.sc.edu//scl/faq/392545)",south_caroliniana_library_open
What do you have at the South Caroliniana Library?,"South Caroliniana means things related to South Carolina. The South Caroliniana Library holds collections related to South Carolina history, culture, and people.
Exhibits
We are an educational and family destination for South Carolina history, with two floors of exhibits featuring items from our collections that help tell the story of the Palmetto State.
Collections
At the South Caroliniana Library, we have archival materials related to South Carolina and the regional South in [these areas](https://sc.edu/about/offices_and_divisions/university_libraries/browse/south_caroliniana/collections/index.php):
Published materials, such as books, newspapers, journals, and pamphlets
Manuscripts, primarily those generated by individuals, families, businesses, and organizations (such as churches), which can include things like personal letters and plantation records
Visual materials, including photographs, postcards, prints, images from illustrated newspapers, fine art, and design records
University Archives, holding the official records of the University of South Carolina, including those of the President, Provost, Board of Trustees, and other academic and administrative departments
[South Carolina Political Collections](https://sc.edu/about/offices_and_divisions/university_libraries/browse/sc_political_collections/index.php), consisting of archival materials and oral histories documenting South Carolina government and political activities at the local, state, and national levels, primarily since World War II. These materials cannot be viewed in the Charles W. Joyner Reading Room at the South Caroliniana Library on the Horseshoe, but may be viewed by appointment only in the [Dorothy B. Smith Reading Room](https://sc.edu/about/offices_and_divisions/university_libraries/about/locations/hollings/smith_reading_room/index.php) in the [Ernest F. Hollings Special Collections Library](https://sc.edu/about/offices_and_divisions/university_libraries/about/locations/hollings/index.php).
[Oral History](https://sc.edu/about/offices_and_divisions/university_libraries/browse/oral_history/index.php), recordings of the memories and descriptions of daily lives, communities, families, and notable events that shaped South Carolina and continue to do so
Please see [How do I search South Caroliniana Library’s collections?](https://libanswers.library.sc.edu/scl/faq/372585) and [How can I see collection materials from South Caroliniana Library?](https://libanswers.library.sc.edu/scl/faq/372586)

[Learn more here](https://libanswers.library.sc.edu//scl/faq/392613)",south_caroliniana_library
What libraries are on the Columbia Campus?,"The University Libraries includes:
[Thomas Cooper Library](http://sc.edu/libraries) (main library)
[Ernest F. Hollings Special Collections Library](http://sc.edu/about/offices_and_divisions/university_libraries/about/locations/hollings/index.php)
[Irvin Department of Rare and Special Collections](http://sc.edu/libraries/rare)
[South Carolina Political Collections](http://sc.edu/libraries/scpc)
[Digital Collections](http://sc.edu/libraries/digi)
[Moving Image Research Collections](http://sc.edu/libraries/mirc)
[Music Library](http://sc.edu/libraries/music)
[South Caroliniana Library](http://sc.edu/libraries/scl)
There are also libraries for the [Law School](http://www.law.sc.edu/library) and [School of Medicine](http://uscmed.sc.libguides.com/).

[Learn more here](https://libanswers.library.sc.edu//faq/23771)",library_columbia_campus
Where are floor plans for finding locations within the Thomas Cooper Library?,"You can find Floor Plans for all levels of Thomas Cooper Library, along with a listing of specific offices and services, on the University Libraries website.
[Floor Plans for Thomas Cooper Library](https://sc.edu/about/offices_and_divisions/university_libraries/about/locations/tcl/floor_plans/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/246199)",floor_plan_finding_location
What is HathiTrust and is the university a member?,"HathiTrust is an international partnership of academic and research institutions (including University of South Carolina) working together to ensure the long-term preservation and accessibility of the cultural record. Content includes items still under copyright as well as public domain items that have been digitized and also open access content. Access options depend on an item's copyright status.
Full View items can be downloaded by USC users as a feature of our membership.
Limited (search only) items are still under copyright and cannot be viewed or downloaded. However, users can search within their content to find items of interest.
 
[HathiTrust Digital Library](https://www.hathitrust.org/)
[Why can't I access a book in HathiTrust online anymore?](https://libanswers.library.sc.edu/faq/346080)

[Learn more here](https://libanswers.library.sc.edu//faq/320957)",hathitrust_university_member
How can I get a free subscription to New York Times online through the library?,"Students, faculty and staff of USC can get unlimited access to NYTimes.com and some NYT mobile apps. You will need to claim your free pass and register it with an online account first. After registration, simply login to NYTimes.com from anywhere and enjoy free access.
For set up and registration instructions:
[New York Times - Online Pass](http://guides.library.sc.edu/nytimes)

[Learn more here](https://libanswers.library.sc.edu//faq/312675)",get_free_subscription_new
The library catalog shows that an item is located at the Annex. How can I get it?,"If you need a single item (a book, video, map, etc.) from the Columbia Annex, sign in to your library account in the Find It @ USC catalog using your network username and password and choose Request to have it delivered to your chosen pickup location. You will receive an email when the item is available for pickup.
If you need a book chapter or a specific journal article, choose Request through Scan & Deliver to receive a scanned PDF copy. You will be prompted to sign in to your ILL Express account and then fill out and/or verify the citation details.
For visitors who do not have a library account, email [ecirc@mailbox.sc.edu](mailto:ecirc@mailbox.sc.edu) to request items from the Annex.
 
NOTE: The above does not apply to items in South Caroliniana Library, the Irvin Department of Rare Books & Special Collections and some other locations. For items noted as belonging to a specific special collections area, please contact that library or department directly (contact link below.)
 
[Scan and Deliver](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/scan_deliver/index.php)
[Library Department Contact List](https://sc.edu/about/offices_and_divisions/university_libraries/about/contact/departments/index.php)
[Visitor and Alumni Services](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/visitor_alumni_services/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/23754)",library_catalog_show_item
How can I suggest a title for the library to purchase?,"You can make purchase suggestions online to help us build the library's collection. The form requires a USC network username and password.
Faculty members can also email their Subject Librarian directly, especially when submitting multiple requests at once.
[Suggest a Purchase](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/suggest_a_purchase/index.php)
[Find My Subject Librarian](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/faculty_services/subject_librarian/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/23790)",suggest_title_library_purchase
Do retired faculty and staff retain their library privileges?,"Retired faculty and staff members who are granted affiliate status by their department will have full library privileges including remote access to resources and borrowing. To request affiliate status, contact your unit's Human Resources department and/or department chair.
Retirees also have the option of joining the Friends of University Libraries, which includes limited borrowing privileges and on-site access to online resources. Friends membership does not include remote access or Interlibrary Loan privileges.
 
[Friends of University Libraries Membership Levels](https://sc.edu/about/offices_and_divisions/university_libraries/support/friend_groups/friends/membership.php)

[Learn more here](https://libanswers.library.sc.edu//faq/363654)",retired_faculty_staff_retain
Does the library provide access to the Wall Street Journal online?,"Yes! University Libraries has a Wall Street Journal Higher Education Membership which provides free individual access for all USC Columbia students, faculty, and staff through WSJ.com, as well as WSJ apps, subscriber-only podcasts, and videos.
Use our unique partner link below to create your individual account. You must use your university email address. Once you have an account, you can go directly to WSJ.com and WSJ apps to sign in and read articles.
Creating Your Account
What if I already have a free account?
 If your existing account uses your university email, you should use our unique partner link below and choose to Sign In instead of creating a new account.
 If your existing account uses a personal email address, you should create a new account using your university email address.
  
What if I already pay for an individual subscription to WSJ.com?
 To take advantage of free access through USC's membership, you need to cancel your existing subscription by calling 1-800-JOURNAL.
 Then you can sign in through our unique partner link below to enable your free access.
Additional Options
The Global Newsstream database includes the Wall Street Journal (Eastern Edition) from 1984 - present.
The Factiva database includes the Wall Street Journal from 1979 - present.
  
[Wall Street Journal Higher Education Membership partner link](https://WSJ.com/UofSC)
[Global Newsstream](https://www.proquest.com/globalnews/advanced?accountid=13965)
[Factiva database](https://go.openathens.net/redirector/sc.edu?url=https%3A%2F%2Fglobal.factiva.com%2Fen%2Fsess%2Flogin.asp%3FXSID%3DS003XN9ZWvaMXmnNdmnMpUnNp2vM92m5DByWcNGOTNHYdNZUUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUEA)

[Learn more here](https://libanswers.library.sc.edu//faq/221692)",library_provide_access_wall
How do I print in the library?,"You can [upload files in advance online](https://printme.com/) or email file(s) as attachments to [print@printme.com](mailto:print@printme.com) to print in the library. You can also print files from a USB drive.
Visit a Student Printing Kiosk on the Main Level in Thomas Cooper Library to choose your form of payment and enter your release code.
For more details, visit one of these help links:
 
[Printing at University Libraries](http://sc.edu/about/offices_and_divisions/university_libraries/find_services/technology_services/printing/index.php)
[What are common issues with printing?](https://libanswers.library.sc.edu/faq/268696)
[Why can't I connect to the eduroam wireless network?](https://libanswers.library.sc.edu/faq/23748)

[Learn more here](https://libanswers.library.sc.edu//faq/23795)",print_library
What are common issues with printing?,"You can [upload files in advance online](https://printme.com) or email file(s) as attachments to [print@printme.com](mailto:print@printme.com) to print in the library. You can also print files from a USB drive.
Visit a Student Printing Kiosk on the Main Level of Thomas Cooper Library to choose your form of payment and enter your release code.
Most Common Issues:
Incorrect or unsupported file type
 Only files stored as MS Word (.doc), PDF, JPEG or HTML can be uploaded. If you are trying to print from Google Docs you will have to download and save the file in one of these formats first. The same is true for PowerPoint files and Pages documents (on Macs). You will need to save as PDF or other supported file type.
Check your wifi connection
 If you're in the library, make sure your device is connected to the eduroam network. See the link at the bottom for help with wifi access.
For additional help:
[Student Printing Kiosk Help form](https://www.sc.edu/about/offices_and_divisions/communications/services/printing/student_printing_services/printing-help.php)
[Why can't I connect to the campus wireless network?](https://libanswers.library.sc.edu/faq/23748)

[Learn more here](https://libanswers.library.sc.edu//faq/268696)",common_issue_printing
How can I access Harvard Business Cases?,"Check your syllabus to see if your professor has created a course pack with a link for your class.
Harvard Business Publishing (HBP) has a very strict copyright policy. Professors, students and staff are not allowed to copy, email, post or link to cases without their permission. Because of this, Harvard Business Cases are not available through library resources or the Interlibrary Loan service.
 
For faculty and instructors
To use Harvard Business Cases in your course:
[Register for a free educator account.](https://hbsp.harvard.edu/registration/educator/)
HBP will approve your request and allow you to access and review articles and cases for free.
Create a custom course pack and click publish.
Provide your students with the HBR link to purchase cases at a discount.
For additional questions, contact the [Business Librarian](mailto:clenneyj@mailbox.sc.edu?subject=Harvard%20Business%20Case%20help).
 
Related information:
[How do I access Harvard Business Review articles through the library?](https://libanswers.library.sc.edu/faq/271416)

[Learn more here](https://libanswers.library.sc.edu//faq/271422)",access_harvard_business_case
Does the library hire students?,"We do! Students interested in working at University Libraries can search for open positions and apply in Handshake.
Under Jobs, select Location as Columbia, SC and click the filter for On-campus. Then search using the word library.  Or try search Handshake for University of South Carolina – University Libraries.
[Student Employment Opportunities](https://sc.edu/about/offices_and_divisions/university_libraries/about/employment_opportunities/index.php)
[Handshake screenshot with filters applied](/faq/image/19211/preview)

[Learn more here](https://libanswers.library.sc.edu//faq/23789)",library_hire_student
Does the library have college entrance and career practice tests and study guides?,"Yes, you can access test preparation materials through these databases:
LearningExpress Library
You must register for a personal account to use the wide range of tests, tutorials and ebooks for adults and children. Includes college and graduate school admission tests, career exams, skill building in math, reading, grammar, writing and sciences, U.S citizenship exam, and some materials in Spanish.
Mometrix eLibrary
Access free test preparation materials for career and professional certifications in areas like teaching, nursing, social work, finance, and law enforcement as well as the major grad school admissions exams. Some resources for K-12 audience.
 
[LearningExpress Library](https://www.learningexpresshub.com/ProductEngine/LELIndex.html)
[Mometrix eLibrary](https://go.openathens.net/redirector/sc.edu?url=https%3A%2F%2Fportal.mometrixelibrary.com%2F%3F__acct%3D11703)

[Learn more here](https://libanswers.library.sc.edu//faq/382477)",library_college_entrance_career
Are there resources to help me learn a language?,"Richland Library currently offers [Transparent Learning Online](https://www.richlandlibrary.com/databases/transparent-language-online) with over 100 languages. USC Columbia students, regardless of where they live, can [get a public library card at Richland Library](https://askus.richlandlibrary.com/faq/207283) for free and renew it annually while they are still enrolled. Visit a library branch in person with your CarolinaCard.
The USC University Libraries has both books about learning a language and books and newspapers written in other languages. There are also some campus resources.
Visit our online guide for more details.
 
[Foreign Language Learning Guide](https://guides.library.sc.edu/foreignlanguages)

[Learn more here](https://libanswers.library.sc.edu//faq/392735)",resource_help_learn_language
What login do I use for library access if I'm a Palmetto College student?,"Student access to library resources is contingent upon the owner of the course the student is enrolled in. If it is a USC Columbia course, select University of South Carolina as the institution.
Students can receive multiple entitlements. For example, a USC Lancaster student taking classes at USC Lancaster and USC Columbia will be assigned the entitlement for both Lancaster and Columbia. The student would be prompted to authenticate as Lancaster or Columbia when prompted for authentication.
The image shows many more campus/institutional options.

[Learn more here](https://libanswers.library.sc.edu//faq/394192)",login_use_library_access
How do I sign up for an ORCID iD?,"Signing up for an ORCID iD is free and takes only a few minutes. Your ORCID iD distinguishes you from other researchers. Contributing your professional information to your ORCID iD will allow you to quickly reuse this information in other systems.
After registering the first time, you can sign in with your ORCID credentials or you can select Institutional account to log in with your USC network username and password. The first time you log in with the Institutional account option, you'll be asked to link your ORCID account. 
[Register (first time)](https://orcid.org/register)
[Sign in (ORCID or USC credentials)](https://orcid.org/signin)

[Learn more here](https://libanswers.library.sc.edu//faq/323829)",sign_orcid_id
My username and password are not working. What should I do?,"First make sure you are using the right credentials. Access to most library resources requires your Network username and password, which equates to the beginning of your university email address (before the @) and your email password. (This is different from your VIP ID, which is 8 numbers.)
If your login is still not working, you may need to reset your Network password (even if you can access your email or Blackboard) using the Account Management menu at [https://myaccount.sc.edu](https://myaccount.sc.edu).
If you are trying to access the eduroam wireless network, you must add @ds.sc.edu to the end of your Network username when logging in. (This is for the wireless network only.)
These links provide additional help with login issues. If you continue to have problems, please submit a ticket or email us.
 
[Password Help from DoIT](https://sc.edu/about/offices_and_divisions/division_of_information_technology/end_user_services/password_help/index.php)
[Why can't I connect to the eduroam wireless network?](https://libanswers.library.sc.edu/faq/23748)
[When can I get online access to library resources as a newly enrolled student?](https://libanswers.library.sc.edu/faq/299636)
[Submit library access support ticket](https://sc.libwizard.com/f/library-access)
[Email your question](https://libanswers.library.sc.edu/ask)

[Learn more here](https://libanswers.library.sc.edu//faq/231891)",username_password_working_do
Where can I get help with my citations?,"Try the library's online guide to Citation Formats for help with the most popular citation styles: AMA, APA, MLA and Chicago. We also have styles for the sciences, and for citing the use of generative AI.
Quick tip: A number of popular databases include tools that will provide a citation. Look for a button labeled Cite or similar and pick the style you need. You should always check these citations for accuracy.
Physical citation guides: If you are in the library, pop by the reference office on the Main floor of Thomas Cooper Library for a physical copy of a citation style guide.
Uncommon citation style? For help with less common styles and source types, the best resource is the official citation manual. You can ask at the Research Help Desk for assistance finding and using citation style manuals. The Writing Center can also help with formatting and incorporating citations into your writing.
To learn about citation management software options, look for the tabs on the Citation Formats guide for Zotero, EndNote, and Mendeley.
[Citation Formats guide](http://guides.library.sc.edu/citation)
[Writing Center at USC](https://sc.edu/study/colleges_schools/artsandsciences/english_language_and_literature/beyond_classroom/writing_center/)

[Learn more here](https://libanswers.library.sc.edu//faq/262345)",get_help_citation
What is Interlibrary Loan and how do I use it?,"Interlibrary Loan (ILL) is a free service for requesting books, articles and other research materials when what you want is not available in the libraries' collections or online resources. The ILL department will ask another library to loan the items you request.
To login and make requests or learn more about this service:
[Request an Interlibrary Loan](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/interlibrary_loan/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/234809)",interlibrary_loan_use_it
What is PASCAL Delivers?,"PASCAL Delivers is a free book-delivery service which enables current USC students, faculty and staff to request delivery of physical books from other academic libraries across the state to a participating library. If you're wondering, PASCAL stands for Partnership Among South Carolina Academic Libraries.
To find items available for request, expand your results in Find It @ USC by choosing to search PASCAL Delivers. Sign in to make requests.
[Search Find It @ USC (PASCAL Delivers Advanced Search)](https://pascal-usc.primo.exlibrisgroup.com/discovery/search?vid=01PASCAL_USCCOL:USC&amp;lang=en&amp;mode=advanced&amp;search_scope=NewDiscoveryNetwork)
[PASCAL Delivers FAQ](http://pascalsc.libguides.com/pascaldelivers)

[Learn more here](https://libanswers.library.sc.edu//faq/23791)",pascal_delivers
The library's main Find It @ USC Libraries (PASCAL) catalog search will not load or let me log in. What can I do?,"This issue has affected a small number of off-campus users, and in at least some cases the site has been blocked by the spam filter of their personal internet service.
If you cannot determine the setting that is causing the problem, another solution is to download and install the free Virtual Private Network (VPN) to access library resources from home. If you use the VPN and it does not solve the problem for you, please use the form link below to report your access issue.
 
[What is the VPN?](https://scprod.service-now.com/kb_view.do?sysparm_article=KB0010878)
[Install and Connect to the VPN - Windows](https://scprod.service-now.com/kb_view.do?sysparm_article=KB0011418)
[Install and Connect to the VPN - Mac (macOS)](https://scprod.service-now.com/kb_view.do?sysparm_article=KB0011419)
[VPN Installation and Connection Instructions - Linux](https://scprod.service-now.com/kb_view.do?sysparm_article=KB0011156)
[Report access issue](https://sc.libwizard.com/f/library-access)

[Learn more here](https://libanswers.library.sc.edu//faq/375227)",library_main_find_usc
Can I photocopy or scan at the library?,"Yes! There are several locations for photocopying and scanning within the libraries. See our website for additional details.
[Printing, Scanning, Copying](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/technology_services/printing/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/23764)",photocopy_scan_library
What workshops are offered in the library?,"Librarians periodically offer a variety of workshops covering citation management, research and data management support, and teaching resources.
Find descriptions and registration links on our website.
[Library Workshops](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/workshops/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/23779)",workshop_offered_library
How can I request a copy of a manuscript?,"For manuscripts and other materials held in the libraries' Special Collections departments, contact the department directly to request copies and reproductions.
[Irvin Department of Rare Books and Special Collections](https://sc.edu/libraries/rare)
[Moving Image Research Collections](https://sc.edu/libraries/mirc)
[South Carolina Political Collections](https://sc.edu/libraries/scpc)
[South Caroliniana Library](https://sc.edu/libraries/scl)

[Learn more here](https://libanswers.library.sc.edu//faq/246201)",request_copy_manuscript
How can I ask for help with searching for sources on my topic?,"You can ask for help with searching library resources in a variety of ways, including online chat, email, and virtual research appointments through Book a Librarian. Find detailed contact information on our website.
[Get Research Help](https://sc.edu/about/offices_and_divisions/university_libraries/get_research_help/index.php)
[Book a Librarian](http://guides.library.sc.edu/bookalibrarian)

[Learn more here](https://libanswers.library.sc.edu//faq/261799)",ask_help_searching_source
Why can't I access the databases from my workplace?,"Some agencies, corporations, institutions, and Internet providers may automatically configure browsers so their own proxy server is used. They could also have a firewall or preset internet security settings. Either of these could interfere with the library's proxy server and block access. You will need to talk to the network administrator at your place of business or school.

[Learn more here](https://libanswers.library.sc.edu//faq/262793)",cant_access_database_workplace
Does the library have a microwave?,"We're sorry, but Thomas Cooper Library does not provide a microwave for public use.

[Learn more here](https://libanswers.library.sc.edu//faq/234629)",library_microwave
Can visitors come to the library?,"The Thomas Cooper Library is open to the general public. Visitors must stop at the visitor desk upon entering the libraries.
See the links below for more details about visitor services, library hours for visitors, and location information.
[Visitor and Alumni Services](http://sc.edu/about/offices_and_divisions/university_libraries/find_services/visitor_alumni_services/index.php)
[Building Use Policy](https://sc.edu/about/offices_and_divisions/university_libraries/about/policies/building_use.php)
[Library Hours](http://sc.edu/libraries/hours)
[Location and Parking Information](http://sc.edu/about/offices_and_divisions/university_libraries/about/locations/tcl/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/23794)",visitor_come_library
How do I find published examples of action research for my education research question?,"Searching the education databases is a good place to start.
If searching with the phrase action research doesn’t get enough results when combined with words targeting the subject, try adding more terms that describe action research.  
Some suggestions:
action research OR problem of practice OR practice based OR action based OR case study OR applied research OR participatory research OR practitioner research OR teacher researchers
Is your research question really complex? Try searching for the most important elements and use the same strategy of using more terms for each of the elements.  For example:
         action research OR any of the other terms you decide to use
AND     Reading
AND    learning disab* OR dyslexia
 
Looking for examples of Problem of Practice dissertations? See the advice on the Library Know How for Education Guide.
[Education Databases](https://guides.library.sc.edu/az.php?s=81800)
[Advice on finding Problem of Practice dissertations](https://guides.library.sc.edu/c.php?g=1056310&amp;p=7674350#s-lg-box-24915781)

[Learn more here](https://libanswers.library.sc.edu//faq/372150)",find_published_example_action
How do I register for access to Ad Age?,"All USC Columbia students, faculty and staff can register for unlimited online access to Ad Age.
Use the [provided link](https://adage.com/) to access the Ad Age platform
Click Register for Free near the top right of the screen
Complete the form using your USC email address
Choose 'Universities/Colleges/Schools' for your Industry and 'Other' for your Title
If you have previously registered for an account with Ad Age using your USC email account, contact [Brent Appling](mailto:applingm@mailbox.sc.edu?subject=Ad%20Age%20access) if you are not able to get access to content.

[Learn more here](https://libanswers.library.sc.edu//faq/408775)",register_access_ad_age
Does the library have a charger for my laptop or phone?,"The Checkout Desk on the Main floor has chargers for all types of devices that you can borrow for up to 4 hours at a time. Use the link below to see availability and reserve now. All reservations are free of charge, unless turned in late.
Portable charging banks are available for free in the Kiosk on the Main level, next to the printers. You can borrow this item for 4 hours at a time.
There are also several free charging stations for phones available around the Main Level of Thomas Cooper Library and one in the Technology Lounge.
 
[Borrow Chargers and Other Computer Accessories](https://libcal.library.sc.edu/equipment?lid=8555&amp;gid=27148)

[Learn more here](https://libanswers.library.sc.edu//faq/262347)",library_charger_laptop_phone
Does the library have my textbooks?,"The library has a collection of print textbooks, especially for courses with over 100 students. Additional materials are also sometimes provided by instructors or available as ebooks through [Find It @ USC Libraries](https://pascal-usc.primo.exlibrisgroup.com/discovery/search?vid=01PASCAL_USCCOL:USC), but the library does not have the assigned textbook for every course offered at the university.
To learn which textbooks have been assigned for a specific course, you can search the university bookstore's site or check for a course syllabus in Blackboard.
 
[Textbooks and Course Materials - University Libraries](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/borrow/textbooks/index.php)
[University Bookstore Find Textbooks](https://sc.bncollege.com/shop/sc/page/find-textbooks)
[Blackboard](https://blackboard.sc.edu/)

[Learn more here](https://libanswers.library.sc.edu//faq/23756)",library_textbook
Does the library have readers advisory databases?,"The databases with Core Collection in the title and the NoveList databases on the Library and Information Science listing are useful for reader's advisory and collection development purposes.  Masterplots provides summaries of short stories, novels, non-fiction, drama, and poetry.
[Library and Information Science databases](https://guides.library.sc.edu/az.php?s=131034)
[Masterplots](https://go.openathens.net/redirector/sc.edu?url=https%3A%2F%2Fonline.salempress.com%2Ftoc.do%3FbookMetaId%3DMP4)

[Learn more here](https://libanswers.library.sc.edu//faq/338846)",library_reader_advisory_database
"I see a ""Hostname Error"" when I try to access a database. What do I do?","When a hostname error occurs, the library needs to update its settings for that database or journal publisher. Please submit a ticket to the library with the following information so the error can be corrected:
Name of the resource/database you're trying to access
The hostname line listed on the error page
[Submit a library access support ticket](https://sc.libwizard.com/f/library-access)

[Learn more here](https://libanswers.library.sc.edu//faq/262795)",see_hostname_error_try
What software is available on the library computers?,"All desktop computers in the library include the same set of available software. Some machines in the Technology Lounge on Level 5 have additional specialized software added. Some of this software can be accessed remotely.
Use the link below for a complete listing and to make remote access requests:
[Software and Hardware](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/technology_services/software_hardware/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/23742)",software_available_library_computer
