Question,Answer
What introductory tools are available for text analysis?,"## Introductory Tools
These are wonderful, easy to use tools to explore whether you want to learn more about text analysis.  We are members of HathiTrust, which gives you access to their tools. Voyant is a free web browser and AntConc is application available to download.  Constellate is a product from JSTOR for  which we have a license.
- [Laurence Anthony's Software AntConc](https://www.laurenceanthony.net/software/antconc/)
- [Constellate](https://constellate.org/)
- [HathiTrust](https://analytics.hathitrust.org/)
- [Voyant](https://voyant-tools.org/)

[Learn more here](https://guides.library.sc.edu/c.php?g=1341033&p=9886349)"
What is Constellate and how do I use it?,"## Constellate (USC login required)
- [See the Contellate Guide for detailed instructions](https://constellate.org/docs/log-in) or visit their [YouTube site for video tutorials](https://www.youtube.com/@Constellate_org).
The web site offers Tutorials in the top right link on Beginner Python Lessons and Intermediate Text Analysis.  Their site will help you 
- Manage the Constellate Lab system
- Share Files in Constellate
- Import Data into Constellate
- Cite a Constellate Dataset
- Build a Dataset

[Learn more here](https://guides.library.sc.edu/c.php?g=1341033&p=9886349)"
What is the HathiTrust Research Center and how do I access it?,"## HathiTrust Research Center (USC login required)
Supported by Indiana University and University of Illinois at Urbana-Champaign, HathiTrust Research Center (HTRC) enables computational analysis of works in the HathiTrust Digital Library (HTDL) to facilitate non-profit research and educational use of the collection.
As institutional members of [HathiTrust](https://www.hathitrust.org/), Columbia faculty and students have access to the HathiTrust Research Center. To access this portal, you must first Login to HathiTrust using your USC network id. Once signed in, you can read about the [HathiTrust Research Center here](https://www.hathitrust.org/member-libraries/services-programs/htrc/).

[Learn more here](https://guides.library.sc.edu/c.php?g=1341033&p=9886349)"
What advanced text analysis tools are available?,"## Advanced Text Analysis Tools
These tools will take some learning, but there are people in Research Computing and in the Libraries who can help you get started.
- [Anaconda](https://www.anaconda.com/)
- [BERTopic](https://maartengr.github.io/BERTopic/api/bertopic.html)
- [Google Colab](https://colab.research.google.com/)
- [Jupyter Lab](https://jupyter.org/)
- [MATLAB: USC site license available](https://sc.edu/about/offices_and_divisions/division_of_information_technology/end_user_services/available_technology_resources/)
- [NLTK (Natural Language ToolKit)](https://www.nltk.org/)[more...](javascript:void(0);)[less...](javascript:void(0);)
- [Python Programming Language](https://www.python.org/)
- [R Studio](https://posit.co/download/rstudio-desktop/)
- [TAPoR 3](https://tapor.ca/home)

[Learn more here](https://guides.library.sc.edu/c.php?g=1341033&p=9886349)"
What data cleaning tools are available?,"## Data Cleaning Tools
- [Open Refine](https://openrefine.org/download)
- [Regexr](https://regexr.com/)[more...](javascript:void(0);)[less...](javascript:void(0);)
- [Regular Expressions (Regex)](https://regex101.com/)

[Learn more here](https://guides.library.sc.edu/c.php?g=1341033&p=9886349)"
How can I track the impact of my research?,"## Impact
After adding your research to Scholar Commons, you’ll have access to useful insights into the ways that others are using your research. In this video, learn how to use the Author Dashboard to understand the reach and impact of your scholarly works.
[Learn more here](https://guides.library.sc.edu/scholarcommons/impact)"
What is USC's Create Digital?,"## Web Hosting with USC's Create Digital
[](https://uofsccreate.org/)
USC Libraries is happy to offer [](https://uofsccreate.org/), a free web hosting service for digital research and scholarship projects, to USC Columbia faculty, staff, and graduate students. Simply log in with your network username and password to access one-click installations and hosting for popular platforms such as Omeka, Wordpress, Scalar, and more. USC Create Digital allows you to manage all of your digital scholarship projects from one location.

[Learn more here](https://guides.library.sc.edu/digitalscholarship/webhosting)"
What are the limitations of USC's Create Digital?,"Users are limited to 1 GB of hosting space in most cases. Please read the [Terms of Service](https://uofsccreate.org/terms-of-service/) and [Documentation](https://docs.usccreate.org/#create-digital-and-storage) for more information.

[Learn more here](https://guides.library.sc.edu/digitalscholarship/webhosting)"
What if I need additional storage?,"We encourage users to seek external storage to the greatest extent possible. Amazon Web Services (AWS), Open Science Framework (OSF), and the Internet Archive are a few options to consider. However, some users may host multiple projects or may require additional storage for non-grant funded projects. To request additional storage, please [fill out the request form](https://sc.libwizard.com/f/CDstorage).

[Learn more here](https://guides.library.sc.edu/digitalscholarship/webhosting)"
How do I get started with USC's Create Digital?,"- [Explore Your cPanel](https://guides.library.sc.edu/digitalscholarship/webhosting#ExploreYourcPanel)
- [Creating a Subdomain](https://guides.library.sc.edu/digitalscholarship/webhosting#CreatingASubdomain)
- [Installing WordPress](http://guides.library.sc.edu/digitalscholarship/webhosting#InstallingWordPress)
- [Installing Omeka](https://guides.library.sc.edu/digitalscholarship/webhosting#InstallingOmeka)
- [Installing Scalar](https://guides.library.sc.edu/digitalscholarship/webhosting#InstallingScalar)
- [Accessing Installed Applications](https://guides.library.sc.edu/digitalscholarship/webhosting#AccessingInstalledApplications)
- [Working with FTP](https://guides.library.sc.edu/digitalscholarship/webhosting#WorkingWithFTP)
- [User Management in cPanel and Sharing Access to Your cPanel](https://guides.library.sc.edu/digitalscholarship/webhosting#UserManagement)

[Learn more here](https://guides.library.sc.edu/digitalscholarship/webhosting)"
What digital tools are available for my project?,"## Digital Tools
You've [picked your CMS](http://guides.library.sc.edu/digitalscholarship/cms). Now, it's time to create content for your site.
You'll likely need a number of digital tools to build your vision. Here are some areas you might consider when developing your website and an explanation of some of the tools available to move your project from dream to reality. Most of the tools mentioned here are reasonably user-friendly and free to use or sample, but a few require payment for advanced options.
Not sure where to start? Visit [TAPoR 3](http://tapor.ca/home), a fantastic project that connects you with a large, curated collection of trusted tools widely used by digital humanities scholars."
What text analysis tools are available?,"## Text Analysis Tools
- [Text Analysis](https://guides.library.sc.edu/c.php?g=1341033)
- [Voyant](https://voyant-tools.org/)
- [Textal](http://www.textal.org/)"
What annotation tools are available?,"## Annotation Tools
- [Hypothes.is](https://web.hypothes.is/)"
What timeline tools are available?,"## Timeline Tools
- [TimelineJS](https://timeline.knightlab.com/)A customizable open source tool to create visually appealing, interactive timelines. Users can build timelines using Google sheets or JSON files and can incorporate media from sources such as Twitter, Flickr, YouTube, Vimeo, Soundcloud, and more. Example:[Revolutionary User Interfaces](https://timeline.knightlab.com/examples/user-interface/index.html)
- [TimeMapper](http://timemapper.okfnlabs.org/)An easy-to-use open source tool that uses Google sheets to create timelines and maps. Example:[Medieval Philosophers](http://timemapper.okfnlabs.org/okfn/medieval-philosophers)"
What mapping tools are available?,"## Mapping Tools
- [Open Street Map](https://www.openstreetmap.org/#map=11/41.4499/-81.5199)
- [QGIS](https://www.qgis.org/en/site/)An open source geographic information system (GIS). QGIS allows users to visualize, manage, edit, analyse data, and compose printable maps.[Examples](https://www.flickr.com/groups/qgis/pool/)
- [StoryMapJS](https://storymap.knightlab.com/)A free, user-friendly tool that allows you to tell media-rich, location-based stories. Example:[Arya's Journey](https://storymap.knightlab.com/examples/aryas-journey/)"
What web scrapers are available?,"## Web Scrapers
- [Data Miner](https://dataminer.io/)
- [Google News Scraper](https://wiki.digitalmethods.net/Dmi/ToolGoogleNewsScraper)
- [WIScker](http://cloud.tapor.ca/wiscker/)Tool to scrape previous versions of Wikipedia articles. WIScker is free to use. The resulting corpus from any query can be analyzed through[Voyant](https://voyant-tools.org/)or on your own."
What collaboration tools are available?,"## Collaboration Tools
A challenging part of creating digital projects is coordinating tasks and people. Collaboration tools can help you keep track of deadlines, discussions, tasks, and assignments.
- [Microsoft Teams](https://www.office.com/)
- [Slack](https://slack.com/)
- [Trello](https://trello.com/en-US)"
What animation tools are available?,"## Animation Tools
- [Explain Everything](https://explaineverything.com/)
- [Bonsai](https://open-ephys.org/bonsai)Open source graphics library that allows users to edit code to create unique content. Bonsai makes creating graphic content easier for users.[Try it yourself.](http://orbit.bonsaijs.org/)"
What audio production tools are available?,"## Audio Production Tools
- [Audacity](https://www.audacityteam.org/)"
Where can I learn more about digital scholarship tools?,[Learn more here](https://guides.library.sc.edu/digitalscholarship/tools)
What is copyright and why does it exist?,"## Copyright Basics
Information and educational tools on this website are offered to assist faculty, staff, and students of the University in making good decisions about the appropriate use of copyrighted materials.

The Copyright Law (Title 17 of the US Code) exists to grant certain rights to content creators. It allows them the control over copies, derivative works, public display, public performance, and transmission of their works. Copyright law attempts to balance the need to establish incentive for content creators to profit from their work, and thus have incentive to continue to create, with the additional need for society to have some rights to these works such as the right to criticize, parody, and use for education.  Although we do, as educators, have specific exceptions granted to us through this law, we still have obligations to meet so that we ensure that the rights of those who created the content are protected.

Copyright covers any original work put in a tangible medium. This includes digital works (webpages, graphics, email, etc.), photographs, and computer software. It does not cover works of expression that are not in a tangible form (i.e. ideas, names, titles, concepts, or improvised performances that aren't recorded) and works in the public domain.

[Learn more here](https://guides.library.sc.edu/copyright)"
How do I make copyright decisions?,"## Making Copyright Decisions
  Is the work covered by copyright or could it be part of the [Public Domain](http://guides.library.sc.edu/copyright/publicdomain)? 
Ideas, facts, processes, and concepts cannot be copyrighted.  Works must meet a minimal level of originality to be able to be copyrighted.  Many works are in the public domain, which means they are free to be used by all.  [Learn more about the public domain.](http://guides.library.sc.edu/aecontent.php?pid=441641&sid=3629780)
      Is there an [Exception](http://guides.library.sc.edu/copyright/exceptions) that allows me to use this work?
Take a look at the [special exceptions](http://guides.library.sc.edu/aecontent.php?pid=441641&sid=3629781) written into the copyright law by congress to help support teaching and scholarship.  These exceptions may make your use of copyrighted material legal.
      Is the work covered by a [License](http://guides.library.sc.edu/copyright/licensing) that would allow you to use it? 
[Find out more](http://guides.library.sc.edu/copyright/licensing) about the creative commons, databases the library purchases for your use, as well as your obligations to uphold licenses.
        Could the use be a [Fair Use](http://guides.library.sc.edu/copyright/fairuse)? 
[Find out more](http://guides.library.sc.edu/aecontent.php?pid=441641&sid=3630697) about this important doctrine written into the copyright law to allow society certain rights to use copyrighted materials.
        How can you obtain [Permission](http://guides.library.sc.edu/copyright/permission) to use a protected work? 
If the work is protected by copyright and your use of the work is not covered by an exception, you can ask the copyright holder for permission to use the work. [Find more information](http://guides.library.sc.edu/copyright/permission) about seeking permission to use copyrighted material.

[Learn more here](https://guides.library.sc.edu/copyright)"
What are the types of repositories for sharing research?,"## Types of Repositories
Sharing your previously published research can[ increase its visibility and reach](https://sparceurope.org/what-we-do/open-access/sparc-europe-open-access-resources/open-access-citation-advantage-service-oaca/oaca-list/). It's important to understand the differences in the types of repositories to determine which is most appropriate for sharing your work. While there is some overlap between repository types, the three main types are:

Institutional repositories (IRs) are repositories that are hosted and managed by educational institutions. They exist to preserve and share the scholarly output of an educational institution. [Scholar Commons](http://scholarcommons.sc.edu) is the institutional repository of the University of South Carolina. It can be accessed from [http://scholarcommons.sc.edu](http://scholarcommons.sc.edu). 

Disciplinary repositories, sometimes known as subject repositories, are digital archives for subject-specific scholarly output. Some scholars choose to share their works through disciplinary repositories to increase the visibility of their work among subject experts and possible collaborators. Some disciplinary repositories rely on author generated content, while use web crawlers to locate and download publicly available content for inclusion. To find a disciplinary repository to share your work, visit the [Disciplinary Repositories Wiki](http://oad.simmons.edu/oadwiki/Disciplinary_repositories) for a comprehensive list organized by subject.

Multidisciplinary repositories archive and make available works across multiple disciplines.

[Learn more here](http://guides.library.sc.edu/openaccessresources/repositories)"
What version of my work can I share?,"## What Can I Share?
It can be tricky to know which version of your work you can share. It's always a good idea to pay attention to your publication agreements, because they'll tell you exactly how you can legally share your works. But what if you don't have those agreements, or if you aren't sure which version is which? Visit the [Which Version Can I Share? ](https://guides.library.sc.edu/scholarcommons/sharing)page for an overview of pre-prints, post-prints, publisher PDFs and for information on how to locate these records. Sharing the legally-allowed version of your research protects your works from being taken down.

[Learn more here](http://guides.library.sc.edu/openaccessresources/repositories)"
What are academic social networking sites?,"## Social Networking
Social networking sites for academics, such as Academia.edu and ResearchGate, are used by some researchers to share their scholarly works and monitor analytics across disciplines. These sites are often used as social media and outreach tools. Because these types of sites have been regularly accused by publishers of [massive copyright infringement](http://www.responsiblesharing.org/coalition-statement/), it's important that researchers pay close attention to the terms of service and privacy policies of these sites.
The University of California Office of Scholarly Communication provides a [great read on the differences between academic social networking sites and open access repositories](https://osc.universityofcalifornia.edu/2015/12/a-social-networking-site-is-not-an-open-access-repository/?utm_source=hootsuite). 

[Learn more here](http://guides.library.sc.edu/openaccessresources/repositories)"
How can I share my research data?,"## Sharing Data
The University of South Carolina does not currently have a system-wide, long-term archiving option for research data. However, many external disciplinary and general data repositories exist. If you want or need to share your research data, please visit the [Sharing Data guide](http://guides.library.sc.edu/c.php?g=592274&p=4095611) to locate an appropriate repository and find additional information.

[Learn more here](http://guides.library.sc.edu/openaccessresources/repositories)"
What are some featured repositories?,"## Featured Repositories
- [arXiv](https://arxiv.org/)
- [bioRxiv](https://www.biorxiv.org/)
- [Figshare](https://figshare.com/)
- [Humanities Commons](https://hcommons.org/)
- [PeerJ Preprints](https://peerj.com/about/preprints/scope-and-instructions/)
- [PubMed Central](https://www.ncbi.nlm.nih.gov/pmc/)
- [SSRN](https://www.ssrn.com/)

[Learn more here](http://guides.library.sc.edu/openaccessresources/repositories)"
How do I create an Open Educational Resource?,"## Creating OER
Creating an OER is similar to authoring any other document, except that you are assigning that content an open license which usually allows for its free use and re-purposing by others. 
Things to consider:
- What license will you assign to your OER? Using a[Creative Commons License](https://creativecommons.org/choose/)will provide you with the legal framework to share your OER.
- How will you make your OER accessible to all students? We recommend the[Open Education Consortium's guide](http://www.oeconsortium.org/resources/toolkits/accessibility/)to addressing accessibility issues.
- Where will you create and host your OER? There are sites available from which you can directly upload and share your materials, and there are educational repositories designed specifically to assist with the creation and hosting of OER. For more information on creating and hosting OER, visit the section titled[Sites for creating and hosting OER](http://guides.library.sc.edu/c.php?g=410356&p=3732812#s-lg-box-wrapper-13612726).
- How will you share your OER? Once you've created your OER, you may want to share it across many directories and repositories for maximum visibility. Consider submitting your work to[MERLOT](https://www.merlot.org/merlot/index.htm),[OER Commons](https://www.oercommons.org/), or the[Open Textbook Library](https://open.umn.edu/opentextbooks/).

[Learn more here](http://guides.library.sc.edu/OER/createOER)"
How do I modify an existing Open Educational Resource?,"## Modifying OER
Modifying an existing OER is a a simpler way of adopting content to suit your needs than creating a new OER. Before modifying an OER, check that the Creative Commons license does not contain a no derivatives clause. If it does, you do not have permission to modify the work. Search for formats that are conducive to modification, such as .docx and .rtf. Once you've downloaded and modified the OER, you can upload it to many of the sites listed in the [Sites for Creating and Hosting OER](http://guides.library.sc.edu/c.php?g=410356&p=3732812#s-lg-box-wrapper-13612726) section.

[Learn more here](http://guides.library.sc.edu/OER/createOER)"
What resources are available for creating and hosting Open Educational Resources?,"## Resources for Creating and Hosting OER
- [Google Drive](http://docs.google.com)
- [Slideshare](http://www.slideshare.net/)
- [YouTube](https://www.youtube.com/)
- [Internet Archive](http://archive.org/)
- [WordPress](http://wordpress.com/)
- [Open Author from OER Commons](https://www.oercommons.org/)
- [Merlot Content Builder](https://www.merlot.org/merlot/index.htm)
- [WikiEducator](https://wikieducator.org/Main_Page)

[Learn more here](http://guides.library.sc.edu/OER/createOER)"
What is the attribution for this information on Open Educational Resources?,"## Attribution
Sections of this page have been modified from the [COERLL Module on Open Educational Resources](https://utexas.instructure.com/courses/1097558), licensed under a [CC BY 4.0 Attribution](http://creativecommons.org/licenses/by/4.0) License.

[Learn more here](http://guides.library.sc.edu/OER/createOER)"
What freely available corpora can I use for text mining and analysis?,"## Freely available corpora to mine and analyze
Here are a few collections of text that are freely available for text mining and analysis. Usually, a freely available or accessible corpora comes with an API which assists the user in pulling the information they need.  See below for information on how to get started with using APIs.
- [Biodiversity Heritage Library APIs](https://about.biodiversitylibrary.org/tools-and-services/developer-and-data-tools/)
- [Chronicling America Newspapers API](https://chroniclingamerica.loc.gov/about/api/)
- [Digital Public Library of America (DPLA)](https://pro.dp.la/developers/api-codex)
- [English-Corpora.org](https://www.english-corpora.org/corpora.asp)
- [General Index](https://archive.org/details/GeneralIndex)
- [Internet Archive eBooks and Texts](https://archive.org/details/texts)
- [Library of Congress Labs](https://data.labs.loc.gov/)
- [New York Times APIs](https://developer.nytimes.com/)
- [Project Gutenberg](https://www.gutenberg.org/)[more...](javascript:void(0);)[less...](javascript:void(0);)
- [Public Library of Science (PLOS)](http://api.plos.org/)
- [PubTator Central](https://www.ncbi.nlm.nih.gov/research/pubtator/)[more...](javascript:void(0);)[less...](javascript:void(0);)
- [University of Oxford Text Archive](https://ota.bodleian.ox.ac.uk/repository/xmlui/)

[Learn more here](https://guides.library.sc.edu/c.php?g=1341033&p=9886165)"
How do I learn to work with an API?,"## Learn to work with an API
Here is some information to learn how to pull in some of these free content and work with their API (Application Programming Interface).
- [University of Alambama API Code Examples](https://ualibweb.github.io/UALIB_ScholarlyAPI_Cookbook/content/about/introduction.html)

[Learn more here](https://guides.library.sc.edu/c.php?g=1341033&p=9886165)"
How do I create an account in Scholar Commons?,"## Creating an Account in Scholar Commons
This video will guide you through the steps of creating an account with Scholar Commons, the institutional repository of the University of South Carolina.
[Learn more here](https://guides.library.sc.edu/scholarcommons/tutorials)"
How do I upload my research to Scholar Commons?,"## Uploading your Works to Scholar Commons
In this video, learn how to archive and share your research and scholarship through Scholar Commons.
[Learn more here](https://guides.library.sc.edu/scholarcommons/tutorials)"
How can I assess the impact of my research in Scholar Commons?,"## Using Scholar Commons to Assess your Research Impact
After adding your research to Scholar Commons, you’ll have access to useful insights into the ways that others are using your research. In this video, learn how to use the Author Dashboard to understand the reach and impact of your scholarly works.
[Learn more here](https://guides.library.sc.edu/scholarcommons/tutorials)"
