question,response,status
3. What kind of tasks can artificial intelligence be used for?,"## AI/Data Science Support The library offers support with the application of AI and Machine learning (ML) tools for your research and projects. You can also receive guidance on the safe and responsible usage of generative AI (GenAI) for your research, teaching, and learning.",Unmarked
4. How does AI technology benefit various sectors of society?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",Unmarked
5. What are some examples of AI-powered solutions in modern life?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",Unmarked
1. What digital scholarship services do you offer?,## Digital Scholarship ### Available Services Thinking about creating a digital project? Wondering how to start text mining? See our resources below and schedule an appointment to get started.,Unmarked
2. Can you provide information on your digital research support services?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",Unmarked
3. Are there any online resources or tools available for scholars?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",Unmarked
4. I'm looking for digital scholarship opportunities - what's available?,## Digital Scholarship ### Available Services Thinking about creating a digital project? Wondering how to start text mining? See our resources below and schedule an appointment to get started.,Unmarked
5. How can I access your institution's digital scholarship services and support?,"## How Can the Library Help? The library offers free web hosting for digital projects for faculty, staff, and graduate students through [USC Create Digital](https://uofsccreate.org/). We can help you plan your project and to discover, select, and use digital tools through [consultations for digital scholarship projects](https://libcal.library.sc.edu/appointments/kateboyd). The library additionally partners with the Humanities Collaborative on Digital Humanities. Learn more and get involved from the [Digital Humanities Working Group](https://sc.edu/study/colleges_schools/artsandsciences/centers_and_institutes/humanities_collaborative/digital_humanities/index.php).",Unmarked
"1. I'm having trouble visualizing some data, who can assist me?","Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",Unmarked
2. Can you recommend someone to help with creating visualizations?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",Unmarked
3. What experts are available to aid in data visualization?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",Unmarked
4. How do I find a professional who specializes in visualization techniques?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",Unmarked
5. Are there any consultants or specialists who can provide guidance on effective visualization?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",Unmarked
